Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
08-10-2012,311.950012,311.950012,308.274994,310.350006,310.350006,4645336,14416.80055
09-10-2012,312.475006,315.25,311,312.875,312.875,2155384,6743.65769
10-10-2012,312,312,308.100006,308.975006,308.975006,2147508,6635.262972
11-10-2012,310.575012,313.899994,309.225006,312.424988,312.424988,4906466,15329.02581
12-10-2012,315,317.5,313,315.575012,315.575012,7753204,24467.17445
15-10-2012,316.200012,317.450012,311.299988,317.075012,317.075012,3786034,12004.56776
16-10-2012,317.625,317.75,314.049988,315.200012,315.200012,3636918,11463.56597
17-10-2012,316,316.25,313.25,314.049988,314.049988,3216886,10102.6301
18-10-2012,315,318.950012,312.225006,318.100006,318.100006,2809230,8936.160799
19-10-2012,316,317.5,313.5,314.25,314.25,4527700,14228.29725
22-10-2012,312.600006,320,312.600006,319.5,319.5,4120702,13165.64289
23-10-2012,319.524994,319.75,316.25,317.049988,317.049988,4166480,13209.82434
25-10-2012,316.325012,320.5,314.5,318.674988,318.674988,8505670,27105.44285
29-10-2012,318.924988,321.25,317.774994,320.299988,320.299988,2756164,8827.992961
30-10-2012,318.524994,322.399994,315.299988,316.825012,316.825012,4417452,13995.59283
31-10-2012,317.049988,317.950012,315.024994,317.100006,317.100006,3746484,11880.10099
01-11-2012,316.375,317.850006,313.75,314.299988,314.299988,3529230,11092.36947
02-11-2012,319,319,314,315.149994,315.149994,2716386,8560.690316
05-11-2012,316,318,315.375,317.5,317.5,2011064,6385.1282
06-11-2012,316.975006,320.600006,316.975006,319.774994,319.774994,3639042,11636.74634
07-11-2012,319.875,322.5,318.450012,320.024994,320.024994,4100330,13122.08084
08-11-2012,318.25,320.5,317.75,319.5,319.5,1933900,6178.8105
09-11-2012,319.125,321.5,317.5,319.674988,319.674988,2210388,7066.057574
12-11-2012,318.625,326.899994,318.625,325.649994,325.649994,4828728,15724.75244
15-11-2012,323.5,323.700012,319.5,323.125,323.125,4721170,15255.28056
16-11-2012,321.5,324.299988,320.075012,321.125,321.125,6051412,19432.59679
19-11-2012,319.875,323.950012,319.725006,323.375,323.375,2893974,9358.388423
20-11-2012,324.549988,327.950012,324.125,326.924988,326.924988,4676694,15289.2813
21-11-2012,327.575012,332.75,324.850006,331.850006,331.850006,6464892,21453.74449
22-11-2012,333.399994,335.575012,332,334.549988,334.549988,4220482,14119.62202
23-11-2012,334.75,336.299988,329.524994,334.875,334.875,2624856,8789.98653
26-11-2012,336.5,336.850006,330.049988,330.950012,330.950012,2740768,9070.572025
27-11-2012,332.450012,341.899994,332.450012,340.25,340.25,8251336,28075.17074
29-11-2012,338.75,351.875,337.700012,349.924988,349.924988,12599726,44089.58969
30-11-2012,350.5,352.75,344.799988,351.975006,351.975006,7819646,27523.19948
03-12-2012,350,350.575012,342,343.475006,343.475006,5818170,19983.95976
04-12-2012,342.049988,345,340.524994,342.575012,342.575012,4339744,14866.87853
05-12-2012,344.5,347.5,343.5,346.299988,346.299988,4609930,15964.18704
06-12-2012,347.899994,349.25,340.399994,347.375,347.375,5452276,18939.84376
07-12-2012,347.625,349,344,346.549988,346.549988,3968316,13752.19862
10-12-2012,345,348.25,344.825012,346.5,346.5,4162052,14421.51018
11-12-2012,347.625,349.5,343.149994,345.424988,345.424988,6750276,23317.14006
12-12-2012,345.625,348,344.25,346.924988,346.924988,3868252,13419.93279
13-12-2012,346.924988,348,344.5,345.524994,345.524994,3141616,10855.0685
14-12-2012,345.024994,347.200012,342.674988,344.375,344.375,4186946,14418.79529
17-12-2012,343.950012,343.950012,336.799988,338.25,338.25,6115106,20684.34605
18-12-2012,338.975006,341.100006,334.875,337.975006,337.975006,6687536,22602.2002
19-12-2012,337.274994,344.625,337.25,344,344,8244506,28361.10064
20-12-2012,343,343.5,340.125,341.700012,341.700012,5130374,17530.48857
21-12-2012,340.5,341,337.024994,338,338,5543122,18735.75236
24-12-2012,340,340.075012,335.899994,338.049988,338.049988,2741126,9266.376114
26-12-2012,339.049988,342.424988,336.549988,340.149994,340.149994,2861608,9733.75944
27-12-2012,342,342,338.350006,340.049988,340.049988,4929084,16761.34955
28-12-2012,340.549988,341.5,337.075012,338.825012,338.825012,3512132,11899.98167
31-12-2012,338.5,340,337,339.299988,339.299988,2553644,8664.513786
01-01-2013,341.049988,342.549988,339.825012,342.25,342.25,2014606,6894.989035
02-01-2013,344.950012,345,341.524994,343.674988,343.674988,4854798,16684.72644
03-01-2013,345,345,340.200012,341.674988,341.674988,4571366,15619.21423
04-01-2013,342.5,342.5,336.399994,339.674988,339.674988,5442254,18485.97562
07-01-2013,341.850006,341.850006,333,334.100006,334.100006,5502284,18383.13117
08-01-2013,334,336.700012,332.850006,335.125,335.125,4942598,16563.88155
09-01-2013,336,336.274994,333.024994,333.75,333.75,6435982,21480.08993
10-01-2013,334.75,339,333.25,337.899994,337.899994,4565184,15425.75646
11-01-2013,338.450012,338.450012,333.350006,334.649994,334.649994,5141714,17206.74559
14-01-2013,334.075012,335.25,333.549988,334.649994,334.649994,5694874,19057.8955
15-01-2013,335.399994,337.725006,332.5,334.149994,334.149994,4131688,13806.0352
16-01-2013,332.774994,334.600006,328.799988,330.25,330.25,4575378,15110.18585
17-01-2013,328.850006,335.424988,327.024994,333.399994,333.399994,6422072,21411.18766
18-01-2013,335,337,327.649994,331.424988,331.424988,10112346,33514.84152
21-01-2013,330,331.700012,327.375,329.274994,329.274994,5427360,17870.93931
22-01-2013,329.25,330.5,323.774994,326.875,326.875,4243064,13869.51545
23-01-2013,328.5,331.5,327.174988,328.299988,328.299988,3539870,11621.39279
24-01-2013,327.799988,331.375,327.625,330.149994,330.149994,3073980,10148.74479
25-01-2013,330.149994,333.5,327.774994,332.524994,332.524994,2794866,9293.627999
28-01-2013,332.625,336,332.225006,335.174988,335.174988,3684010,12347.88008
29-01-2013,335.375,335.450012,325,326.225006,326.225006,5980874,19511.10657
30-01-2013,326.5,329.200012,322,328.325012,328.325012,5019816,16481.31148
